5;0;17;0;0;0;22;0;2183;2255;127;8;55;2983;0;10;441;853;0;18;0;0;290;22;265;0;2;294;201;2;3420;1997;794;19;0;2622;2208;1042;1856;98;0;2254;25;9;985;16;31;0;4062;4;91;38;83;0;0;20;2671;181;6;0;3;0;741;20;3050;0;28;2350;354;336;2777;18;8;38;0;399;754;42;1;1413;2709;303;2830;19;49;0;0;2;3;949;1416;19;53;1263;0;233;159;2930;23;0;2630;208;0;14;791;436;0;2120;3664;307;0;2395;135;110;1825;13;36;19;2454;3029;1;2736;28;0;2153;5;82;27;24;3041;4;4;0;1809;0;14;3452;96;2755;1908;5;8;106;14;1503;1778;530;1746;1990;2667
6;0;89;0;0;0;143;0;1;50;0;3;88;163;0;534;8;5;0;7;0;11;13;204;24;0;206;2;154;1;169;0;0;3;0;1;4;103;78;10;0;118;5;24;13;15;32;0;25;54;91;7;588;0;5;253;18;3;3;0;0;0;9;170;12;0;56;9;3;39;19;67;3;299;0;2;45;58;24;7;0;22;2;67;17;4;2;0;1;16;1;0;109;3;0;4;14;8;13;0;5;137;0;54;216;61;0;1;82;11;0;20;43;29;75;153;226;5;0;34;0;12;41;0;40;3;0;48;17;9;33;198;0;11;0;7;11;0;101;0;10;56;231;259;125;3;55;6;0;0
2000;4;207;0;7;1;863;0;1747;385;1308;1838;994;146;1;246;1229;705;0;1233;0;1211;1824;1080;1338;0;418;2197;285;1282;752;297;649;1852;0;271;1635;445;549;2321;0;174;1556;841;1481;1560;1549;0;95;674;614;1150;121;0;1057;771;308;2236;1675;0;1105;1;1710;373;542;1;1222;728;1641;1593;128;1085;1455;1145;0;962;797;1245;894;441;689;2206;644;1001;1883;200;1900;1325;1418;663;1774;773;1493;824;0;1864;1957;630;1839;1;1420;1210;3;952;1003;869;0;540;751;1780;0;362;2357;1479;99;879;1008;1842;1192;813;1075;329;1288;0;471;1304;1724;651;1639;858;1405;836;3;1378;0;1983;328;1017;98;999;1912;694;1150;1054;411;1145;2296;350;1023;582
524;0;20;0;0;0;247;0;1936;642;632;355;102;207;0;20;592;2011;0;458;0;1;517;175;729;0;6;1021;9;580;831;976;1410;492;0;647;1713;87;557;857;0;791;331;14;1468;271;296;0;633;132;233;326;13;0;0;96;1349;909;750;0;560;0;2068;19;1037;0;240;1747;687;253;260;270;347;332;0;1229;1171;304;7;1568;1650;979;2012;10;515;36;467;783;277;167;2328;299;280;2297;0;642;489;1712;560;0;1862;264;0;215;232;136;0;1498;1313;713;0;542;402;430;130;232;182;565;1873;1731;465;426;219;0;1659;138;587;13;322;2317;23;2;0;1911;0;860;937;310;288;2160;457;134;231;299;274;1407;623;565;1622;913
14;0;1;0;0;0;7;0;538;224;322;3;55;1056;0;5;1093;145;0;41;0;0;325;46;141;0;1;718;99;11;214;224;244;65;0;648;544;588;710;254;0;1179;20;0;866;10;44;0;1003;3;47;45;59;0;0;14;870;388;17;0;14;0;346;3;1707;0;12;331;1050;234;580;21;33;8;0;576;229;28;1;168;554;347;847;13;92;0;6;17;0;1147;255;60;61;391;0;748;283;381;33;1;978;124;0;8;313;509;0;393;536;516;0;467;196;59;315;8;22;55;250;868;26;953;30;0;661;4;173;6;26;509;3;1;0;293;0;40;289;659;334;632;12;0;49;11;540;586;869;847;540;864
1;0;0;0;0;0;3;0;1591;215;22;0;13;686;0;0;251;720;0;7;0;1;94;0;143;0;0;161;27;1;245;1502;534;6;0;532;1295;147;283;38;0;1495;0;0;463;1;4;0;961;1;40;16;10;0;0;0;1199;176;1;0;2;0;528;3;810;0;0;677;98;81;422;2;3;3;0;237;538;14;1;1054;504;154;1183;3;19;0;0;3;0;221;328;6;6;711;0;140;51;537;5;0;1064;103;0;0;152;220;0;825;689;127;0;323;68;28;229;4;3;15;884;1493;1;400;3;0;2185;1;33;0;5;2700;4;0;0;617;0;7;486;52;480;401;2;0;8;0;312;523;166;216;989;669
94;0;15;2;0;67;296;7;103;11;284;57;100;77;0;16;285;149;9;120;218;131;281;223;327;534;37;166;28;99;36;2;119;146;3;91;202;20;366;366;38;190;92;65;272;191;254;213;113;16;318;183;11;329;31;122;191;186;73;80;18;77;242;144;284;0;135;416;264;182;45;180;21;102;280;143;290;300;137;24;44;300;377;217;341;85;34;5;6;97;433;118;455;184;300;187;309;242;238;121;373;173;295;124;225;213;455;393;87;280;201;36;340;341;2;248;152;140;128;226;53;142;217;161;248;20;217;263;142;269;165;88;0;278;194;94;63;212;3;76;119;57;131;189;73;171;403;288;158;212
114;0;7;0;0;0;166;0;179;18;215;122;97;33;0;8;306;142;0;140;0;0;376;79;257;0;2;220;4;114;48;5;74;138;0;210;341;43;204;299;0;73;121;8;266;162;257;0;97;4;181;165;4;0;0;55;221;176;70;0;34;0;365;3;221;0;96;417;226;173;30;121;57;27;0;144;157;183;2;25;177;306;397;13;290;0;94;11;41;148;475;158;177;343;0;194;319;251;169;0;466;124;0;94;191;100;0;282;76;345;0;80;320;209;0;105;64;206;40;333;103;117;127;0;169;24;139;2;203;262;9;0;0;231;0;128;66;77;8;341;217;33;53;54;36;567;348;143;121;475
112;0;15;0;0;0;131;0;146;74;290;162;69;27;0;7;293;85;0;149;0;0;362;87;207;0;2;251;3;150;185;2;36;187;0;302;297;43;133;288;0;46;110;2;274;164;144;0;128;2;104;160;5;0;0;39;206;99;86;0;41;0;381;1;189;0;91;352;228;209;136;116;44;61;0;97;133;172;0;13;350;254;365;12;338;0;172;30;49;175;439;243;210;252;0;115;295;349;159;0;472;111;0;92;142;85;0;232;203;299;0;123;267;194;6;135;55;227;34;293;90;71;106;0;172;20;122;6;166;205;3;2;0;200;0;174;207;68;39;538;248;30;84;76;51;499;375;155;90;398
327;0;7;0;0;0;360;0;642;681;308;411;287;328;0;33;583;598;0;471;0;0;759;242;620;0;2;502;5;280;1044;178;383;302;0;1048;910;243;405;521;0;272;533;14;642;344;308;0;587;35;282;305;29;0;1;159;488;406;222;0;203;0;778;2;708;0;247;1149;335;468;480;315;324;120;0;205;473;451;2;313;1517;586;922;11;446;5;299;308;232;510;1445;241;369;645;0;285;434;1385;334;0;760;302;0;309;317;275;0;550;1092;868;0;930;572;509;186;257;204;403;837;1000;401;567;195;0;336;168;234;1;391;460;8;1;0;1312;0;540;1046;71;351;1503;484;184;184;212;262;1812;599;686;418;1249
