1604;19492;4003;15;43521;29403;2879;896;195;325
905;1836;400;70;903;806;1437;1903;635;744
19671;46364;46337;3420;21102;19290;30440;38145;7964;10678
15495;35760;26633;1309;21179;24071;29594;17912;8309;7478
10342;25224;24295;295;5021;13713;27292;18182;4269;3793
10545;17512;20067;2758;5926;870;4935;19461;4158;5706
4395;9600;5717;211;8315;1329;8462;7537;2652;2182
3114;9600;4946;2306;6219;3720;10129;5029;1970;3367
3482;9252;4144;424;4367;6255;9552;6817;2016;2264
8123;21852;10548;143;6502;26330;19414;15322;3771;2718
