2796;19492;0;68;37;16;0;174;1;15;1938;421;2574;195;56;153;1628;2;115;77;24;84;362;291;131;8;96;174;3;21;293;22;11;145;365;1;11;2828;10;1015;2970;0;2405;401;3593;11;5;39;30;29;349;377;0;1;108;37;0;49;3;11;30;221;2559;366;449;15;4196;2369;99;49;3440;241;256;100;105;269;13;50;2883;247;286;12;2163;50;20;58;0;1627;3119;0;150;3;10;11;32;1617;3852;0;198;32;7;98;23;482;7;0;52;66;20;2542;1113;2316;2556;1;27;395;385;3666;4;2725;54;36;91;3991;2823;2;0;0;11;0;16;4;1142;122;55;1;108;18;106;0
1;1836;0;7;76;164;47;75;15;7;7;6;1;42;6;48;15;6;326;840;15;31;102;269;5;45;128;112;198;9;77;20;191;68;7;16;18;48;58;136;1;3;89;6;1;52;14;66;215;53;30;4;88;3;15;44;38;52;67;8;10;62;26;132;64;10;10;156;176;5;13;20;22;2;25;7;41;42;103;48;68;47;12;23;23;8;3;3;143;54;67;20;5;13;10;13;37;4;116;4;6;12;12;26;24;0;249;66;24;28;3;3;0;70;27;8;109;3;12;42;3;126;10;13;2;54;13;71;19;21;563;81;1;9;35;31;22;159;30;78
355;46364;193;1503;328;1374;883;1492;412;1874;1267;320;1034;2579;73;453;652;291;114;697;162;1941;1035;2330;3128;917;2516;1544;952;998;1020;2022;1298;358;2751;828;1274;1632;1700;677;1275;351;1537;3799;439;2345;450;2947;3189;2404;638;2474;532;320;1534;2005;745;2437;811;2230;472;541;1411;1374;398;1218;1292;1754;2856;2383;1208;2759;3312;1862;2548;2416;1809;221;994;3287;2950;2089;1023;1910;2728;2843;193;941;2001;1303;1669;566;189;874;2439;839;1544;360;1358;1549;3995;2026;2303;3788;776;293;2423;2498;990;1428;721;280;1687;987;1292;3304;659;1793;355;1716;2381;1721;2017;1381;229;788;397;878;1263;541;22;1306;628;2643;1295;700;182;1490;2198;751
1677;35760;47;831;1321;978;442;2176;185;761;979;827;747;1378;528;1273;477;160;1549;210;588;3072;1823;999;1395;726;1122;3221;328;448;2000;1079;432;1323;1827;491;803;1429;1147;1910;1477;130;1448;2047;1759;1296;348;1442;464;1164;1570;1464;273;119;1566;757;464;1009;587;2074;379;1248;1210;2439;1192;812;1413;1475;747;1209;1192;1396;2077;707;1237;1137;798;937;1351;1769;1986;494;780;1117;2485;1055;51;790;724;662;2657;211;155;548;2246;1338;619;63;3249;1014;2252;1000;776;2351;546;90;1352;1129;563;1678;1114;1449;2158;575;889;1832;1725;1218;265;905;2303;798;1219;519;1709;290;117;637;780;330;76;901;1114;1103;645;461;1311;852;1114;698
86;25224;8;854;254;687;490;2954;43;910;637;265;195;1253;173;372;93;68;549;383;170;2716;565;1540;1708;1235;1237;1805;207;172;2192;787;349;293;1559;305;568;418;1254;432;476;9;382;1535;73;802;162;1787;1048;1524;448;1027;109;3;1963;1124;117;1425;617;2485;148;501;286;1859;310;494;199;432;1703;1066;307;1067;1854;575;1759;961;598;344;223;1789;1536;535;116;949;2098;1415;3;219;301;566;1061;26;59;252;2710;647;172;15;1499;717;2305;636;744;1940;405;11;1228;1335;325;350;1122;138;900;395;515;1558;598;983;127;219;2435;1201;1258;279;55;45;17;734;460;111;53;434;373;1404;845;304;259;823;1737;268
15;17512;202;974;58;592;433;221;275;1442;12;118;485;600;40;42;107;159;269;61;45;107;61;751;1819;967;1120;174;515;545;209;1183;326;66;1234;445;741;525;1295;539;7;399;238;1435;63;1100;216;1936;273;1621;55;922;213;322;86;1344;259;1436;635;36;235;47;744;172;93;586;58;452;856;1404;331;849;1371;821;1465;724;753;40;64;1144;779;817;322;1457;30;2103;142;274;433;605;126;493;109;305;87;2;304;239;98;953;17;1107;1136;1388;440;271;864;761;512;339;8;12;1;521;806;1341;21;41;184;284;48;857;1047;457;49;564;293;769;679;205;1;513;38;1567;972;380;43;951;1243;441
30;9600;0;211;36;393;350;568;47;288;3;42;506;251;18;49;75;38;611;81;13;617;60;453;327;192;566;881;103;125;595;574;420;21;176;274;402;566;472;666;9;4;330;226;112;730;170;451;631;400;69;109;123;0;139;433;297;661;188;117;184;13;422;1161;186;291;83;675;656;413;836;232;352;163;314;168;357;34;90;230;605;294;463;431;436;541;0;425;432;368;971;12;67;268;275;5;567;0;1348;334;120;275;444;234;306;0;502;491;234;485;6;36;1;249;331;263;50;38;177;693;166;398;389;762;78;45;10;302;420;142;10;273;61;304;187;225;24;386;275;407
404;9600;173;176;4;233;307;853;200;287;19;65;334;292;20;67;75;225;395;79;2;1396;417;527;259;59;302;1300;364;159;874;417;171;10;187;289;273;373;252;431;81;260;320;160;513;489;216;255;462;262;309;149;209;219;308;216;251;328;113;231;190;76;367;888;550;318;216;366;568;280;397;332;371;130;277;287;311;13;222;171;412;171;389;285;700;356;129;261;209;277;618;350;108;302;595;65;153;252;1199;303;225;227;284;175;166;194;305;414;176;513;49;388;35;376;222;368;22;26;176;365;501;231;108;202;546;345;275;102;388;210;23;362;194;279;264;234;37;225;299;184
696;9252;26;286;9;286;288;837;77;515;72;129;272;159;34;68;95;65;122;77;28;1628;82;271;359;115;397;967;129;85;606;485;103;31;191;270;280;193;274;189;287;27;201;134;695;623;171;534;109;322;240;124;130;28;432;448;250;344;115;602;91;55;206;617;369;291;575;103;207;333;235;151;231;181;208;137;359;63;416;192;402;415;329;471;1220;677;14;141;211;312;448;46;21;161;1083;219;127;46;746;396;600;193;504;149;191;22;459;294;145;364;65;603;242;295;205;206;26;72;128;329;904;198;205;165;576;68;40;97;383;225;15;209;404;228;383;257;105;254;257;139
1234;21852;0;327;24;659;400;1604;13;882;1380;207;284;435;48;159;104;22;39;201;24;2520;99;529;689;462;1095;1352;129;129;816;865;349;49;402;539;665;156;775;144;1769;3;253;639;1162;953;234;1301;676;773;271;330;62;2;987;785;312;1346;452;1983;111;144;244;844;723;426;1581;110;928;872;498;428;630;412;650;339;737;58;1843;662;1000;871;269;606;2714;991;0;207;322;502;1003;14;70;248;2716;1835;250;1;1066;481;2269;633;956;532;508;2;1389;995;501;377;1888;1922;2557;376;611;569;42;2184;89;212;1953;837;886;784;1672;24;7;523;527;116;26;265;1747;799;394;341;101;831;525;392
