9004;4;413;23837;2959;165;20402;3043;18224;19615;12567;11103;9588;811;8056;32;12325;7913;1264;812;9865;26653;15197;12141;2700;26179;4873;19355;8327;21900;12615;12580;11047;11285;470;5893;10948;17513;20707;13658;3443;5228;26569;821;193;6482;10793;12931;17185;7385;22118;5238;22177;12146;19364;10150;29502;13249;9762;760;4484;6101;18126;8869;7449;16280;634;22697;15593;9158;16299;203;23166;13105;15165;1826;5361;17244;782;1245;91;1943;15785;849;7058;11057;118;47;5131;6882;22854;11347;568;17896;18528;7220;7904;9948;10925;9392
2;0;0;0;1;0;2;186;0;4;64;3;5;212;4;0;1;6;0;0;1;0;0;6;36;0;2;0;6;0;0;8;1;9;0;2;3;3;0;2;1;3;0;73;0;1;2;0;1;0;0;4;0;3;0;5;1;0;2;0;174;1;2;1;2;0;0;1;2;4;0;0;2;0;1;154;0;3;1;20;0;14;5;15;7;7;0;0;0;4;0;2;10;0;1;0;0;2;0;13
1529;3;709;15;641;27;143;733;6;405;1467;717;1211;434;1075;23;1892;1008;29;6;703;147;1105;1263;275;6;797;301;1108;57;22;1935;1502;1312;4;711;990;1854;8;758;566;1272;598;558;11;731;1434;1206;291;1428;580;1112;139;1680;10;1201;52;147;1325;0;827;1136;2398;1381;1564;531;9;15;417;1237;2295;224;87;231;1795;627;78;1271;8;731;1;670;1947;134;797;1905;6;44;1127;1188;1345;1699;412;2;2132;512;676;1174;1440;255
1394;10;205;14;278;172;107;450;8;591;930;591;1068;365;746;20;1203;1261;14;88;598;159;926;1339;315;8;436;233;929;65;10;1848;1529;1437;20;443;845;1792;1;812;279;916;412;368;31;884;1808;662;397;836;492;792;178;1019;27;1042;78;118;1175;11;426;766;2218;882;770;335;9;13;298;1338;1560;831;132;370;1678;511;555;951;8;373;13;461;2223;981;1097;1231;15;8;703;1057;1564;1173;266;4;2120;449;942;1238;1612;226
369;0;0;803;198;1;254;182;334;491;566;306;293;75;254;0;635;294;1;0;290;1156;1029;323;21;838;93;1428;263;637;233;634;519;428;7;173;315;683;356;326;6;222;664;80;3;194;486;634;554;233;1189;237;1204;373;412;316;522;331;445;0;117;266;665;459;261;997;0;365;290;418;659;0;217;220;461;158;1826;979;2;110;0;34;524;0;426;549;1;2;109;328;1236;525;29;516;502;265;369;383;457;162
48;0;0;1676;63;0;892;20;820;384;307;463;188;0;37;0;346;79;1;1;328;1936;865;263;4;1340;10;2097;98;344;499;468;129;170;2;157;337;826;874;552;3;45;888;2;0;41;122;847;943;17;1225;49;1276;189;1032;24;676;421;55;0;27;36;487;45;23;1274;0;948;728;50;572;0;691;224;409;10;2683;963;2;8;0;24;175;1;70;262;0;0;19;62;1247;480;0;399;365;323;184;38;102;285
92;0;0;26;90;105;142;77;0;32;129;272;401;15;36;0;95;213;458;288;55;92;81;404;4;8;15;72;75;6;0;68;188;256;81;261;208;255;18;483;8;66;113;98;69;57;102;164;156;30;79;135;33;221;11;115;59;82;83;375;66;181;219;24;19;106;216;77;164;81;175;2;83;52;368;46;5;184;238;86;3;20;184;0;76;140;165;89;34;27;190;62;23;0;234;24;26;113;60;48
16;0;0;78;15;132;43;2;17;29;105;229;84;7;1;0;131;13;2829;90;110;150;292;157;5;11;0;140;26;5;16;45;159;97;116;35;126;379;17;206;0;0;99;0;31;0;20;104;320;13;210;4;50;238;13;2;30;282;53;267;38;32;225;0;2;223;918;36;29;2;337;0;18;6;264;2;42;333;1376;1;3;0;67;0;3;261;31;11;0;2;236;78;0;33;141;40;23;0;8;25
61;0;0;58;65;181;55;14;31;31;197;74;53;7;1;0;139;11;1393;178;181;171;299;45;4;12;7;175;40;10;16;244;79;137;327;44;93;205;36;107;0;16;100;16;295;11;40;105;228;12;200;18;71;218;17;3;18;119;202;259;39;28;190;1;7;235;1013;40;30;8;260;0;23;4;104;12;3;432;1179;21;24;11;164;0;34;180;429;499;5;3;249;224;1;16;113;29;147;2;74;38
65;0;2;54;282;1484;610;38;69;859;721;201;90;19;39;0;361;59;841;2219;143;228;578;165;9;78;14;285;455;123;3;305;161;218;1857;133;186;510;60;518;0;32;1104;57;1135;5;108;234;404;29;220;27;104;227;401;15;299;120;161;1991;157;44;356;21;60;786;1747;281;584;61;303;0;1061;745;188;14;8;636;2083;137;758;36;250;2;49;217;1879;1983;42;51;467;344;13;68;493;119;132;16;104;790
