19859;13655;31013;35376;27114;17980;8746;51881;43452;49649
1566;215;24;5;345;68;3449;4;181;2
13174;13072;15958;21161;16790;11017;6925;18749;18055;16404
12436;15070;20181;18564;15905;14477;6751;20458;13673;13307
11046;12500;14985;16469;14153;13934;4654;15708;10863;10764
9660;8704;15762;10494;15537;13680;2897;15933;12187;6299
2183;1262;2644;1814;3289;1471;920;1478;4250;12189
514;262;3723;2473;1857;1555;208;4897;5610;10086
1287;710;2939;3286;2186;1571;410;4887;4400;9824
5821;3561;9263;10459;8592;6885;1639;16226;11952;19913
