43569;23;5608;16108;21;36942;50219;22458;48317;57;63773;45683;62883;7258;40718;60106;24838;42;28117;77452;49703;40178;47621;75254;43747;35503;41179;26222;21;28928;37719;67211;22350;44078;56269;65192;43160;67527;8343;15842
45;0;114;0;0;11;0;55;2;0;0;1;0;631;6;2;24;0;354;0;0;52;0;0;2;0;0;11;0;6;3;0;238;1;5;0;12;4;306;26
494;0;34;98;0;10;3902;2746;6;0;5451;2692;50;1000;2533;6081;140;0;1247;4453;24;4047;27;115;1719;4042;60;2624;0;2871;11;2689;2326;67;6189;6033;4998;5030;202;1484
85;7;0;1374;0;0;3311;1775;547;9;2147;5621;6254;137;820;2113;2255;6;169;3591;2777;1920;1759;5661;3572;537;4474;2169;32;3834;1;3143;1442;3041;4316;796;2974;2214;10;581
41;0;0;1666;0;0;698;1176;637;0;352;5650;5058;79;535;1671;1285;0;47;1233;1783;1619;2008;7025;2832;365;5314;1133;0;3143;2;1782;1508;1830;2433;272;2587;1397;0;442
61;0;3;1634;0;3;313;33;2093;0;37;6506;3787;25;145;122;779;0;27;68;1834;75;3587;6387;1126;48;4105;153;0;1893;0;1019;33;1482;176;19;129;38;17;43
96;0;7;6;2;12;53;1203;48;0;17;347;165;185;450;590;94;0;238;192;329;1312;8;33;691;254;0;1419;1;1239;1;90;578;454;301;64;1146;354;42;348
55;0;7;3;0;1;104;430;39;0;27;853;303;69;242;380;23;0;188;407;188;752;11;36;2270;224;0;1057;0;1787;0;450;193;260;513;74;1091;417;14;132
16;0;0;9;0;0;342;681;19;0;46;1079;201;30;198;346;34;0;67;448;140;551;4;40;1850;71;0;1069;0;1878;0;783;217;292;627;38;1045;358;2;119
57;0;0;111;0;0;790;2673;52;0;466;2568;366;77;701;1615;230;0;180;1419;124;2170;90;423;3898;344;34;2691;0;3878;0;2014;1346;299;2821;299;3951;1635;11;467
