patient;data_format;num_trees;max_depth;f1 macro avg
chb22;21x14;003;:;0.24
chb22;21x14;005;:;0.36
chb22;21x14;007;:;0.42
chb22;21x14;009;:;0.45
chb22;21x14;003;:;0.26
chb22;21x14;005;:;0.37
chb22;21x14;007;:;0.42
chb22;21x14;009;:;0.47
chb22;21x14;003;:;0.29
chb22;21x14;005;:;0.39
chb22;21x14;007;:;0.44
chb22;21x14;009;:;0.51
chb22;21x14;003;:;0.33
chb22;21x14;005;:;0.42
chb22;21x14;007;:;0.48
chb22;21x14;009;:;0.63
chb22;21x14;003;:;0.36
chb22;21x14;005;:;0.45
chb22;21x14;007;:;0.55
chb22;21x14;009;:;0.71
chb22;pca136;003;:;0.24
chb22;pca136;005;:;0.31
chb22;pca136;007;:;0.35
chb22;pca136;009;:;0.41
chb22;pca136;003;:;0.25
chb22;pca136;005;:;0.31
chb22;pca136;007;:;0.36
chb22;pca136;009;:;0.45
chb22;pca136;003;:;0.26
chb22;pca136;005;:;0.33
chb22;pca136;007;:;0.39
chb22;pca136;009;:;0.50
chb22;pca136;003;:;0.28
chb22;pca136;005;:;0.35
chb22;pca136;007;:;0.45
chb22;pca136;009;:;0.63
chb22;pca136;003;:;0.31
chb22;pca136;005;:;0.39
chb22;pca136;007;:;0.54
chb22;pca136;009;:;0.74
