patient;data_format;num_trees;max_depth;f1 macro avg
chb14;pca136;0100;003;0.62
chb14;pca136;0100;005;0.89
chb14;pca136;0100;007;0.68
chb14;pca136;0100;009;0.56
chb14;pca136;0100;011;0.69
chb14;pca136;0200;003;0.84
chb14;pca136;0200;005;0.84
chb14;pca136;0200;007;0.61
chb14;pca136;0200;009;0.70
chb14;pca136;0200;011;0.67
chb14;pca136;0300;003;0.79
chb14;pca136;0300;005;0.64
chb14;pca136;0300;007;0.69
chb14;pca136;0300;009;0.76
chb14;pca136;0300;011;0.81
chb14;pca136;0500;003;0.80
chb14;pca136;0500;005;0.77
chb14;pca136;0500;007;0.68
chb14;pca136;0500;009;0.73
chb14;pca136;0500;011;0.69
chb14;pca136;0700;003;0.69
chb14;pca136;0700;005;0.87
chb14;pca136;0700;007;0.63
chb14;pca136;0700;009;0.68
chb14;pca136;0700;011;0.57
chb14;pca136;1000;003;0.60
chb14;pca136;1000;005;0.70
chb14;pca136;1000;007;0.67
chb14;pca136;1000;009;0.64
chb14;pca136;1000;011;0.80
