patient;data_format;num_trees;max_depth;f1 macro avg
chb16;21x14;003;:;0.29
chb16;21x14;005;:;0.36
chb16;21x14;007;:;0.40
chb16;21x14;009;:;0.47
chb16;21x14;003;:;0.30
chb16;21x14;005;:;0.37
chb16;21x14;007;:;0.41
chb16;21x14;009;:;0.50
chb16;21x14;003;:;0.30
chb16;21x14;005;:;0.37
chb16;21x14;007;:;0.44
chb16;21x14;009;:;0.53
chb16;21x14;003;:;0.33
chb16;21x14;005;:;0.40
chb16;21x14;007;:;0.49
chb16;21x14;009;:;0.63
chb16;21x14;003;:;0.36
chb16;21x14;005;:;0.44
chb16;21x14;007;:;0.60
chb16;21x14;009;:;0.72
chb16;pca136;003;:;0.24
chb16;pca136;005;:;0.29
chb16;pca136;007;:;0.37
chb16;pca136;009;:;0.47
chb16;pca136;003;:;0.25
chb16;pca136;005;:;0.31
chb16;pca136;007;:;0.39
chb16;pca136;009;:;0.50
chb16;pca136;003;:;0.26
chb16;pca136;005;:;0.34
chb16;pca136;007;:;0.43
chb16;pca136;009;:;0.58
chb16;pca136;003;:;0.29
chb16;pca136;005;:;0.38
chb16;pca136;007;:;0.51
chb16;pca136;009;:;0.70
chb16;pca136;003;:;0.32
chb16;pca136;005;:;0.43
chb16;pca136;007;:;0.64
chb16;pca136;009;:;0.78
