patient;data_format;num_trees;max_depth;f1 macro avg
chb09;21x14;003;:;0.32
chb09;21x14;005;:;0.40
chb09;21x14;007;:;0.46
chb09;21x14;009;:;0.52
chb09;21x14;003;:;0.33
chb09;21x14;005;:;0.41
chb09;21x14;007;:;0.48
chb09;21x14;009;:;0.54
chb09;21x14;003;:;0.34
chb09;21x14;005;:;0.43
chb09;21x14;007;:;0.50
chb09;21x14;009;:;0.56
chb09;21x14;003;:;0.37
chb09;21x14;005;:;0.46
chb09;21x14;007;:;0.53
chb09;21x14;009;:;0.62
chb09;21x14;003;:;0.39
chb09;21x14;005;:;0.48
chb09;21x14;007;:;0.57
chb09;21x14;009;:;0.70
chb09;pca136;003;:;0.27
chb09;pca136;005;:;0.32
chb09;pca136;007;:;0.38
chb09;pca136;009;:;0.45
chb09;pca136;003;:;0.27
chb09;pca136;005;:;0.33
chb09;pca136;007;:;0.39
chb09;pca136;009;:;0.47
chb09;pca136;003;:;0.29
chb09;pca136;005;:;0.35
chb09;pca136;007;:;0.42
chb09;pca136;009;:;0.51
chb09;pca136;003;:;0.30
chb09;pca136;005;:;0.37
chb09;pca136;007;:;0.46
chb09;pca136;009;:;0.60
chb09;pca136;003;:;0.31
chb09;pca136;005;:;0.41
chb09;pca136;007;:;0.51
chb09;pca136;009;:;0.70
