patient;data_format;num_trees;max_depth;f1 macro avg
chb07;21x14;003;:;0.26
chb07;21x14;005;:;0.37
chb07;21x14;007;:;0.44
chb07;21x14;009;:;0.49
chb07;21x14;003;:;0.29
chb07;21x14;005;:;0.38
chb07;21x14;007;:;0.45
chb07;21x14;009;:;0.50
chb07;21x14;003;:;0.31
chb07;21x14;005;:;0.38
chb07;21x14;007;:;0.46
chb07;21x14;009;:;0.53
chb07;21x14;003;:;0.34
chb07;21x14;005;:;0.40
chb07;21x14;007;:;0.50
chb07;21x14;009;:;0.60
chb07;21x14;003;:;0.36
chb07;21x14;005;:;0.44
chb07;21x14;007;:;0.56
chb07;21x14;009;:;0.69
chb07;pca136;003;:;0.24
chb07;pca136;005;:;0.32
chb07;pca136;007;:;0.37
chb07;pca136;009;:;0.43
chb07;pca136;003;:;0.25
chb07;pca136;005;:;0.33
chb07;pca136;007;:;0.38
chb07;pca136;009;:;0.45
chb07;pca136;003;:;0.26
chb07;pca136;005;:;0.34
chb07;pca136;007;:;0.39
chb07;pca136;009;:;0.49
chb07;pca136;003;:;0.27
chb07;pca136;005;:;0.36
chb07;pca136;007;:;0.43
chb07;pca136;009;:;0.58
chb07;pca136;003;:;0.29
chb07;pca136;005;:;0.38
chb07;pca136;007;:;0.50
chb07;pca136;009;:;0.70
