patient;data_format;num_trees;max_depth;f1 macro avg
chb03;pca136;0100;003;0.50
chb03;pca136;0100;005;0.67
chb03;pca136;0100;007;0.95
chb03;pca136;0100;009;0.99
chb03;pca136;0100;011;1.00
chb03;pca136;0200;003;0.50
chb03;pca136;0200;005;0.67
chb03;pca136;0200;007;0.95
chb03;pca136;0200;009;0.99
chb03;pca136;0200;011;1.00
chb03;pca136;0300;003;0.50
chb03;pca136;0300;005;0.68
chb03;pca136;0300;007;0.94
chb03;pca136;0300;009;1.00
chb03;pca136;0300;011;1.00
chb03;pca136;0500;003;0.50
chb03;pca136;0500;005;0.65
chb03;pca136;0500;007;0.94
chb03;pca136;0500;009;0.99
chb03;pca136;0500;011;1.00
chb03;pca136;0700;003;0.50
chb03;pca136;0700;005;0.68
chb03;pca136;0700;007;0.94
chb03;pca136;0700;009;0.99
chb03;pca136;0700;011;1.00
chb03;pca136;1000;003;0.50
chb03;pca136;1000;005;0.69
chb03;pca136;1000;007;0.95
chb03;pca136;1000;009;1.00
chb03;pca136;1000;011;1.00
