patient;data_format;num_trees;max_depth;f1 macro avg
chb01;pca136;0100;003;0.99
chb01;pca136;0100;005;0.99
chb01;pca136;0100;007;0.98
chb01;pca136;0100;009;0.85
chb01;pca136;0100;011;0.87
chb01;pca136;0200;003;0.82
chb01;pca136;0200;005;1.00
chb01;pca136;0200;007;0.99
chb01;pca136;0200;009;0.83
chb01;pca136;0200;011;0.86
chb01;pca136;0300;003;1.00
chb01;pca136;0300;005;0.92
chb01;pca136;0300;007;0.99
chb01;pca136;0300;009;0.86
chb01;pca136;0300;011;0.99
chb01;pca136;0500;003;1.00
chb01;pca136;0500;005;0.99
chb01;pca136;0500;007;0.91
chb01;pca136;0500;009;0.94
chb01;pca136;0500;011;0.91
chb01;pca136;0700;003;0.87
chb01;pca136;0700;005;1.00
chb01;pca136;0700;007;1.00
chb01;pca136;0700;009;0.90
chb01;pca136;0700;011;0.96
chb01;pca136;1000;003;0.99
chb01;pca136;1000;005;0.88
chb01;pca136;1000;007;0.99
chb01;pca136;1000;009;0.92
chb01;pca136;1000;011;0.88
