patient;data_format;num_trees;max_depth;f1 macro avg
chb02;pca136;0100;003;0.73
chb02;pca136;0100;005;0.51
chb02;pca136;0100;007;0.75
chb02;pca136;0100;009;0.60
chb02;pca136;0100;011;0.67
chb02;pca136;0200;003;0.86
chb02;pca136;0200;005;0.78
chb02;pca136;0200;007;0.70
chb02;pca136;0200;009;0.96
chb02;pca136;0200;011;0.65
chb02;pca136;0300;003;0.69
chb02;pca136;0300;005;0.62
chb02;pca136;0300;007;0.97
chb02;pca136;0300;009;0.56
chb02;pca136;0300;011;0.80
chb02;pca136;0500;003;0.95
chb02;pca136;0500;005;0.59
chb02;pca136;0500;007;0.74
chb02;pca136;0500;009;0.71
chb02;pca136;0500;011;0.97
chb02;pca136;0700;003;0.95
chb02;pca136;0700;005;0.65
chb02;pca136;0700;007;0.61
chb02;pca136;0700;009;0.97
chb02;pca136;0700;011;0.70
chb02;pca136;1000;003;0.96
chb02;pca136;1000;005;0.54
chb02;pca136;1000;007;0.55
chb02;pca136;1000;009;0.97
chb02;pca136;1000;011;0.62
