patient;data_format;num_trees;max_depth;f1 macro avg
chb22;pca136;0100;003;0.43
chb22;pca136;0100;005;0.50
chb22;pca136;0100;007;0.71
chb22;pca136;0100;009;0.69
chb22;pca136;0100;011;0.58
chb22;pca136;0200;003;0.31
chb22;pca136;0200;005;0.43
chb22;pca136;0200;007;0.58
chb22;pca136;0200;009;0.62
chb22;pca136;0200;011;0.66
chb22;pca136;0300;003;0.32
chb22;pca136;0300;005;0.49
chb22;pca136;0300;007;0.59
chb22;pca136;0300;009;0.61
chb22;pca136;0300;011;0.61
chb22;pca136;0500;003;0.36
chb22;pca136;0500;005;0.53
chb22;pca136;0500;007;0.65
chb22;pca136;0500;009;0.76
chb22;pca136;0500;011;0.82
chb22;pca136;0700;003;0.33
chb22;pca136;0700;005;0.48
chb22;pca136;0700;007;0.59
chb22;pca136;0700;009;0.57
chb22;pca136;0700;011;0.58
chb22;pca136;1000;003;0.32
chb22;pca136;1000;005;0.55
chb22;pca136;1000;007;0.57
chb22;pca136;1000;009;0.60
chb22;pca136;1000;011;0.67
