patient;data_format;num_trees;max_depth;f1 macro avg
chb06;pca136;0100;003;0.56
chb06;pca136;0100;005;0.54
chb06;pca136;0100;007;0.63
chb06;pca136;0100;009;0.72
chb06;pca136;0100;011;0.57
chb06;pca136;0200;003;0.68
chb06;pca136;0200;005;0.59
chb06;pca136;0200;007;0.66
chb06;pca136;0200;009;0.65
chb06;pca136;0200;011;0.61
chb06;pca136;0300;003;0.69
chb06;pca136;0300;005;0.56
chb06;pca136;0300;007;0.71
chb06;pca136;0300;009;0.64
chb06;pca136;0300;011;0.59
chb06;pca136;0500;003;0.65
chb06;pca136;0500;005;0.64
chb06;pca136;0500;007;0.63
chb06;pca136;0500;009;0.59
chb06;pca136;0500;011;0.64
chb06;pca136;0700;003;0.60
chb06;pca136;0700;005;0.67
chb06;pca136;0700;007;0.66
chb06;pca136;0700;009;0.69
chb06;pca136;0700;011;0.59
chb06;pca136;1000;003;0.69
chb06;pca136;1000;005;0.65
chb06;pca136;1000;007;0.56
chb06;pca136;1000;009;0.62
chb06;pca136;1000;011;0.63
