20516;32828;446;3647;17874;13434;31322;28907;21060;2313
14;304;131;577;191;43;97;60;9;170
15117;21864;2249;6975;9398;11262;14618;11653;14233;7417
13110;16624;1060;4349;7580;6772;12356;8971;11910;4544
10212;11856;1708;3571;3197;5695;8277;4540;8938;4250
8747;12888;484;3249;7037;4156;10173;8851;9965;2112
7161;8380;1397;3089;1805;3666;5597;2520;6340;4040
6509;7516;1065;2702;1740;3527;4303;2378;6156;3563
3795;5564;316;1848;1916;2985;3638;2781;4571;1797
9435;13140;120;2963;5580;6643;9760;8474;10476;2394
