1892;32828;33;88;2149;716;478;23;249;983;1878;2567;559;728;3074;8;141;1138;1961;2282;1465;1689;1772;2247;339;35;1141;784;715;1678;226;2449;2129;56;290;1539;1138;137;919;786;1513;119;994;2008;1487;623;125;455;2378;357;2510;1751;3173;954;1139;15;518;2118;3118;49;744;69;2744;1131;3043;19;65;298;504;1067;3112;108;1523;23;987;2549;885;2042;2129;2418;1524;72;1701;22;784;725;1644;2056;127;1671;1511;1572;137;1164;2404;575;3001;960;149;55;2059;217;525;140;2242;82;1760;1221;455;204;2701;261;2612;2266;790;3368;42;98;961;2316
0;304;0;7;2;25;19;224;0;8;8;3;30;3;0;23;4;1;2;1;0;0;0;2;7;9;3;0;8;11;59;9;0;239;11;1;0;11;0;0;0;6;2;2;0;0;69;12;1;12;1;4;1;2;8;3;4;2;1;36;1;5;4;0;1;0;1;3;5;0;2;5;1;89;0;0;0;5;1;2;2;0;4;8;14;0;0;0;1;12;7;1;1;0;1;17;0;0;6;2;0;7;8;32;0;16;1;1;4;32;0;27;9;1;0;0;8;49;0;0
964;21864;11;452;964;559;799;119;904;867;442;809;675;779;860;116;546;1251;929;656;993;666;934;861;967;356;1188;436;769;962;533;943;1188;136;705;672;1079;609;948;864;773;542;802;753;589;1174;471;975;936;932;794;700;781;301;669;127;711;826;1244;417;830;331;890;1389;931;269;355;967;747;1214;828;687;1323;246;860;1003;1152;836;863;719;653;33;1032;403;1232;1080;573;1016;300;1178;1097;1136;783;1007;1065;891;873;1153;647;152;923;1155;884;781;810;542;1131;1194;995;725;702;571;923;1353;1058;1204;272;571;461;895
839;16624;23;272;581;572;675;66;553;557;468;741;234;523;673;48;362;876;881;547;776;702;902;526;717;177;1076;169;558;710;253;634;1037;118;453;512;624;376;603;441;776;411;648;401;233;854;232;714;757;665;767;548;724;310;418;78;607;629;1105;145;624;192;678;1159;820;93;188;637;553;898;539;297;1099;111;640;1015;1064;774;840;629;386;34;833;119;743;794;497;984;173;1002;974;1143;552;987;952;598;788;932;356;120;895;628;650;415;711;311;1027;971;881;475;572;314;800;800;822;1240;126;204;116;1000
540;11856;56;295;501;263;550;67;464;301;54;367;203;614;248;84;284;867;612;105;600;336;753;388;464;265;860;162;768;507;241;278;623;92;437;83;458;295;638;361;673;323;532;204;149;679;204;623;663;503;174;347;408;51;260;124;368;318;656;156;428;235;201;1000;240;184;265;449;669;749;171;292;713;105;402;679;883;438;512;214;141;111;363;230;655;685;122;713;330;752;855;1039;306;886;590;509;372;822;531;138;639;444;501;326;239;260;802;649;637;411;275;303;341;550;657;555;159;234;91;837
1112;12888;6;122;448;553;297;76;217;335;472;677;694;331;556;29;142;728;699;541;655;737;809;440;256;109;620;161;579;615;372;597;747;143;210;586;332;239;580;180;622;132;519;371;469;453;327;357;888;349;778;521;825;426;285;23;311;514;864;238;353;106;648;666;704;25;94;332;418;707;597;82;741;116;602;805;554;550;646;714;461;18;628;50;499;520;525;1118;48;537;684;868;97;480;802;410;903;692;109;76;736;230;320;191;616;178;873;574;381;437;626;422;657;497;443;941;36;340;149;868
235;8380;10;284;196;117;384;53;544;259;33;255;145;293;194;77;363;761;437;49;313;128;537;185;409;224;773;73;397;300;209;154;355;55;451;75;279;197;356;255;280;436;377;130;46;759;188;561;445;516;75;198;186;63;154;52;187;168;354;154;349;138;120;885;118;163;402;500;567;580;100;375;478;116;187;306;505;301;281;93;62;18;238;246;470;614;57;423;229;533;597;665;298;421;359;370;211;683;439;74;553;402;350;260;98;184;575;415;717;224;83;172;267;313;598;300;119;172;66;433
295;7516;8;300;252;116;359;44;317;199;17;138;120;365;124;59;324;541;434;86;265;294;525;156;373;202;582;99;330;230;157;134;352;76;433;45;263;134;404;291;307;471;423;121;120;570;144;436;301;418;117;263;201;21;156;78;178;180;276;157;312;141;118;678;147;112;255;458;496;627;81;201;445;80;239;260;551;222;331;102;111;12;176;160;344;504;61;438;147;373;361;660;178;577;308;326;232;583;411;58;334;293;282;209;187;183;494;378;591;208;190;196;153;284;530;256;116;157;222;423
325;5564;6;166;369;116;227;12;125;178;57;179;105;159;182;15;178;321;311;140;312;277;329;222;273;71;345;168;217;253;113;183;301;62;256;54;247;114;331;205;204;183;317;160;75;275;73;315;316;312;156;193;209;35;172;23;173;179;274;77;257;83;156;316;248;16;55;226;203;349;125;67;317;15;279;305;233;263;266;165;77;6;182;45;258;366;83;389;43;310;275;365;113;286;283;239;260;381;189;28;234;187;276;125;232;131;246;306;268;181;224;171;148;298;226;291;42;118;268;328
773;13140;3;247;949;150;325;21;193;468;248;604;157;446;663;3;211;773;859;723;680;679;659;769;301;41;621;372;484;477;189;669;830;21;394;363;647;96;799;426;454;133;711;684;525;451;155;434;717;452;615;556;827;167;506;3;385;599;922;143;459;35;588;779;868;8;57;292;415;746;566;90;791;15;616;873;591;594;811;702;341;4;568;10;464;610;468;864;49;707;680;913;184;583;842;466;836;776;216;24;609;251;438;184;747;50;710;799;408;162;756;123;521;748;531;887;5;118;663;862
