5052;21892;43;839;3420;0;4174;3393;5381;3225;2995;3673;3969;3900;3666;3811;5326;4072;3574;5613;4769;0;4974;1425;4115;135;3868;5134;2242;253
29;336;17;4;59;0;78;127;43;35;80;55;27;9;68;64;46;73;38;54;67;0;29;82;44;45;75;36;35;109
1058;11900;7457;428;352;0;2598;843;1773;1224;1128;905;1066;559;1374;3225;1193;3008;1242;1509;2528;0;1579;248;2157;5093;1627;2033;596;3772
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
824;4852;209;111;412;0;1288;695;719;781;548;1326;459;87;761;1388;662;938;1212;798;890;0;699;1229;718;417;773;802;588;1287
497;4780;137;71;1364;0;1121;762;553;339;360;1769;401;542;588;1162;684;1090;1403;1061;861;2;410;901;679;159;665;574;1096;1064
374;4152;43;118;2123;6;947;430;780;456;364;868;373;1083;602;824;531;1024;539;741;857;20;548;442;657;204;636;596;1200;260
657;7496;773;93;4245;0;857;823;671;355;358;1234;639;3227;561;1071;1175;1082;1521;1474;1267;0;525;965;945;763;507;687;2685;2698
